,uid,anime_uid,score
1030,968,269,8
1031,17312,269,6
1032,4719,269,8
1033,260843,30123,5
1034,199148,30123,8
1035,207809,30123,7
1036,204546,30123,10
1037,212051,30123,7
1038,312763,30123,4
1039,324413,30123,4
1040,199166,30123,6
1041,200885,30123,10
1042,287192,30123,4
1043,254156,30123,8
1044,200354,30123,5
1045,200295,30123,9
1046,262801,30123,9
1047,199222,30123,10
1048,210972,30123,10
1049,213625,30123,10
1050,202622,30123,8
1051,296127,30123,10
1052,314684,30123,7
1053,320014,30123,10
1054,323575,30123,9
1055,262752,30123,8
1056,247765,30123,9
1057,248599,30123,10
1058,235363,30123,8
1059,199629,30123,9
1060,222913,30123,8
1061,245818,30123,9
1062,247243,30123,3
1063,249647,30123,1
1064,308398,30123,5
1065,253137,30123,9
1066,253433,30123,8
1067,259243,30123,9
1068,264371,30123,6
1069,218758,30123,6
1070,205786,30123,5
1071,231525,30123,9
1072,233582,30123,9
1073,218143,30123,10
1074,230070,30123,4
1075,211569,30123,8
1076,208797,30123,8
1077,245126,30123,9
1078,283102,30123,8
1079,237462,30123,9
1080,242057,30123,10
1081,247321,30123,6
1082,251408,30123,7
1083,256196,30123,6
1084,236115,30123,6
1085,222869,30123,8
1086,211050,30123,10
1087,224551,30123,7
1088,201643,30123,10
1089,201311,30123,10
1090,237380,30123,7
1091,239325,30123,9
1092,239610,30123,8
1093,291589,30123,3
1094,217648,30123,8
1095,221286,30123,5
1096,218249,30123,8
1097,217159,30123,9
1098,225527,30123,10
1099,212017,30123,7
1100,201041,30123,8
1101,206733,30123,9
1102,199655,30123,9
1103,200096,30123,8
1104,210217,30123,9
1105,199220,30123,6
1106,199153,30123,8
1107,199168,30123,8
1108,212816,30123,8
1109,215629,30123,6
1110,226565,30123,10
1111,218202,30123,7
1112,216887,30123,7
1113,214062,30123,5
1114,219123,30123,6
1115,238098,30123,6
1116,282911,30123,8
1117,293653,30123,8
1118,261731,30123,2
1119,298178,30123,9
1120,298343,30123,8
1121,306163,30123,10
1122,276548,30123,8
1123,211392,30123,9
1124,203712,30123,10
1125,207001,30123,9
1126,216657,30123,9
1127,230410,30123,8
1128,279548,30123,9
1129,280160,30123,6
1130,246211,30123,5
1131,318748,30123,10
1132,321044,30123,7
1133,199374,30123,6
1134,203627,30123,4
1135,235090,30123,4
1136,199176,30123,8
1137,199104,30123,8
1138,199141,30123,8
1139,205096,30123,6
1140,15745,1571,9
1141,30423,1571,9
1142,14412,1571,9
1143,19619,1571,9
1144,76255,1571,8
1145,2132,1571,10
1146,2071,1571,10
1147,105775,1571,7
1148,335,1571,10
1149,5100,1571,6
1150,100321,1571,10
1151,2393,1571,10
1152,26931,1571,7
1153,161183,1571,6
1154,242464,1571,4
1155,19052,1571,8
1156,165481,1571,3
1157,3242,1571,10
1158,163,1571,10
1159,275482,19319,9
1160,283632,19319,8
1161,185852,19319,6
1162,138391,19319,9
1163,138481,19319,10
1164,189506,19319,9
1165,255802,19319,7
1166,300411,19319,9
1167,138623,19319,10
1168,240239,19319,6
1169,138057,19319,8
1170,166927,19319,9
1171,132817,19319,8
1172,153553,4181,10
1173,207922,4181,10
1174,235445,4181,3
1175,131949,4181,10
1176,82352,4181,10
